!konkombers	NSE konkombers
!konkomberse	NSM konkombers
!konkombersie	NSED konkombers
!konkombersies	NSMD konkombers
10e_Laan	NEE Tiende_Laan
entrée	NSE entree
entrées	NSM entree
entstof-kandidaat	NSE entstofkandidaat
entstof-kandidate	NSM entstofkandidaat
entstof-skeptisisme	NSE entstofskeptisisme
Eo_ipso	BS eo_ipso
EP_Malanweg	NEE E.P._Malanweg
Epukiro-kliniek	NEE Epukirokliniek
ere-president	NSE erepresident
ere-presidente	NSM erepresident
ere-professoraat	NSE ereprofessoraat
ere-professorate	NSM ereprofessoraat
Erica_pattersonia	NEE Erica_patersonia
Erongo-streek	NEE Erongostreek
erosie-oorblyfsel	NSE erosieoorblyfsel
erosie-oorblyfsels	NSM erosieoorblyfsel
erotiese-rolprent-maker	NSE erotieserolprentmaker
erotiese-rolprent-makers	NSM erotieserolprentmaker
ervarings-gestimuleer	ASP ervaringsgestimuleer
ervarings-gestimuleerde	ASA ervaringsgestimuleer
escudo	NSM eskudo	NSE eskudo
escudo's	NSM eskudo
Eskia_Mphahlele-rylaan	NEE Eskia_Mphahlelerylaan
Eskom-bestuurder	NSE Eskombestuurder
Eskom-bestuurders	NSM Eskombestuurder
Eskom-krisis	NSE Eskomkrisis
Eskom-raad	NSE Eskomraad
Eskom-werker	NSE Eskomwerker
Eskom-werkers	NSM Eskomwerker
e-sport-speler	NSE e-sportspeler
e-sport-spelers	NSM e-sportspeler
e-sport-superster	NSE e-sportsuperster
e-sport-supersterre	NSM e-sportsuperster
espresso-koffie	NSE espressokoffie
espresso-koffies	NSM espressokoffie
Esprit_de_corps	NSE esprit_de_corps
establishment-media	NSM establishmentmedia
establishment-pers	NSE establishmentpers
estrogeen-aktiwiteit	NSE estrogeenaktiwiteit
estrogeen-aktiwiteite	NSM estrogeenaktiwiteit
Eswatini	NEE eSwatini
Et_alia	RO et_alia
Et_alii	RO et_alii
Et_cetera	RO et_cetera
etage	NSE étage
etages	NSM étage
etalage	NSE étalage
etalages	NSM étalage
etaleur	NSE étaleur
etaleurs	NSM étaleur
etcetera	RO et_cetera
Etcetera	RO et_cetera
Ethiopië	NEE Etiopië
Ethiopiër	NEE Etiopiër
Ethiopiërs	NEM Etiopiër
Ethiopies	ASP Etiopies	NEE Etiopies
Ethiopiese	ASA Etiopies
etiek-verwant	ASP etiekverwant
etiek-verwante	ASA etiekverwant
etno-argeoloë	NSM etnoargeoloog
etno-argeologie	NSE etnoargeologie
etno-argeoloog	NSE etnoargeoloog
etoksied-ione	NSM etoksiedioon
etoksied-ioon	NSE etoksiedioon
etui	NSE étui
etuis	NSM étui
euphorbia	NSE euforbia
euphorbias	NSM euforbia
Europese_steenkool-_en_staalgemeenskap	NEE Europese_Steenkool-_en_Staalgemeenskap
Euro-skepties	ASP euroskepties
Euro-skeptiese	ASA euroskepties
Eva_Paulse-straat	NEE Eva_Paulsestraat
evaluasie-ontwerp	NSE evaluasieontwerp
Eve_Carolissen_Keerweg	NEE Eve_Carolissenkeerweg
Eve_Carolissen-keerweg	NEE Eve_Carolissenkeerweg
evolueer	VTHOG ewolueer
evolusie	NSE ewolusie
evolusiebiologie	NSE ewolusiebiologie
evolusiefase	NSE ewolusiefase
evolusiefases	NSM ewolusiefase
evolusiegeskiedenis	NSE ewolusiegeskiedenis
evolusieleer	NSE ewolusieleer
evolusiemodel	NSE ewolusiemodel
evolusiemodelle	NSM ewolusiemodel
evolusieproses	NSE ewolusieproses
evolusies	NSM ewolusie
evolusieteorie	NSE ewolusieteorie
evolusionêr	ASP ewolusionêr
evolusionêre	ASA ewolusionêr
evolusionis	NSE ewolusionis
evolusionisme	NSE ewolusionisme
evolusioniste	NSM ewolusionis
evolusionisties	ASP ewolusionisties
evolusionistiese	ASA ewolusionisties
eweknie-beoordeel	ASP ewekniebeoordeel
eweknie-beoordeelde	ASA ewekniebeoordeel
ewewigs-reaksie	NSE ewewigsreaksie
ewewigs-reaksies	NSM ewewigsreaksie
Ewing-sarkome	NSM ewingsarkoom
Ewing-sarkoom	NSE ewingsarkoom
Ex_bonus	BS ex_bonus
Ex_cathedra	BS ex_cathedra
Ex_dividend	BS ex_dividend
Ex_facie	BS ex_facie
Ex_gratia	BS ex_gratia
Ex_libris	NSE ex_libris
Ex_officio	BS ex_officio
Ex_parte	BS ex_parte
Ex_post_facto	BS ex_post_facto
Ex_tempore	BS ex_tempore
Ex_unitate_vires	RO ex_unitate_vires
expertise	NSE ekspertise
Eye_Witness_News	NEE Eyewitness_News
F.W._de_Klerk-boulevard	NEE F.W._de_Klerkboulevard
F.W._de_Klerk-stigting	NEE F.W._de_Klerkstigting
façade	NSE fasade
façades	NSM fasade
Facebook-blaaie	NSM Facebookblad
Facebook-blad	NSE Facebookblad
Facebook-boodskap	NSE Facebookboodskap
Facebook-boodskappe	NSM Facebookboodskap
Facebook-inskrywing	NSE Facebookinskrywing
Facebook-inskrywinge	NSM Facebookinskrywing
Facebook-inskrywings	NSM Facebookinskrywing
Facebook-plasing	NSE Facebookplasing
Facebook-plasings	NSM Facebookplasing
Facebook-profiel	NSE Facebookprofiel
Facebook-profiele	NSM Facebookprofiel
Facebook-tydlyn	NSE Facebooktydlyn
Facebook-tydlyne	NSM Facebooktydlyn
Facebook-uitlating	NSE Facebookuitlating
Facebook-uitlatinge	NSM Facebookuitlating
Facebook-uitlatings	NSM Facebookuitlating
Facebook-vriend	NSE Facebookvriend
Facebook-vriende	NSM Facebookvriend
facsimilee	NSE faksimilee
facsimilees	NSM faksimilee
facsimilee-uitgawe	NSE faksimilee-uitgawe
facsimilee-uitgawes	NSM faksimilee-uitgawe
fadjr	NSE fadjer
fadjrs	NSM fadjer
failliet	ASP faljiet
Fait_accompli	NSE fait_accompli
fajr	NSE fadjer
fajrs	NSM fadjer
falooda	NSE faloeda
faloodas	NSM faloeda
familie-georiënteer	ASP familiegeoriënteer
familie-georiënteerde	ASA familiegeoriënteer(d)
familie-liefde	NSE familieliefde
FAMSA	NEE Famsa
Fanie_du_Plessis-straat	NEE Fanie_du_Plessisstraat
Fanie_Du_Plessisstraat	NEE Fanie_du_Plessisstraat
Fanie_Du_Plessis-straat	NEE Fanie_du_Plessisstraat
fantasie-dramareeks	NSE fantasiedramareeks
fantasie-dramareekse	NSM fantasiedramareeks
fase-aanpassing	NSE faseaanpassing
fase-diagram	NSE fasediagram
fase-diagramme	NSM fasediagram
fase-oorgang	NSE faseoorgang
fase-oorgange	NSM faseoorgang
fase-verandering	NSE faseverandering
fase-veranderinge	NSM faseverandering
fase-veranderings	NSM faseverandering
Fata_morgana	NSE fata_morgana
Fatima_Bhayat-straat	NEE Fatima_Bhayatstraat
Faux_pas	NSE faux_pas	NSM faux-pas
FAWU	NEE Fawu
FEDHASA	NEE Fedhasa
Fedisa	NEE FEDISA
FEDSAL	NEE Fedsal
FEDSAS	NEE Fedsas
FEDUSA	NEE Fedusa
Feigenbaum-konstante	NSE feigenbaumkonstante
Feigenbaum-konstantes	NSM feigenbaumkonstante
Feng_shui	NSE feng_shui
Feng_Shui	NSE feng_shui
Fenicië	NEE Fenisië
Feniciër	NEE Fenisiër
Feniciërs	NEM Fenisiër
Fenicies	ASP Fenisies	NEE Fenisies
Feniciese	ASA Fenisies
Fer_de_lance	NSE fer_de_lance
Fermi-Diracfunksie	NSE fermi-diracfunksie
Fermi-Dirac-funksie	NSE fermi-diracfunksie
Fermi-Diracstatistiek	NSE fermi-diracstatistiek
Fermi-Dirac-statistiek	NSE fermi-diracstatistiek
Fermi-Diracverdeling	NSE fermi-diracverdeling
Fermi-Dirac-verdeling	NSE fermi-diracverdeling
Fernkloof-natuurreservaat	NEE Fernkloofnatuurreservaat
ferro-okside	NSE ferroökside
ferro-oksied	NSE ferroöksied
Fidel_Castro-straat	NEE Fidel_Castrostraat
fiets-stoorarea	NSE fietsstoorarea
fiets-stoorareas	NSM fietsstoorarea
FIFA	NEE Fifa
fiksie-skrywing	NSE fiksieskrywing
Filda_Mackriel-straat	NEE Filda_Mackrielstraat
Film_noir	NSE film_noir
filodeeg-pastei	NSE filodeegpastei
filodeeg-pasteie	NSM filodeegpastei
filosofie-dosent	NSE filosofiedosent
filosofie-dosente	NSM filosofiedosent
Fin_de_siècle	NSE fin_de_siècle
FINA	NEE Fina
finansiëledienste-maatskappy	NSE finansiëledienstemaatskappy
finansiëledienste-maatskappye	NSM finansiëledienstemaatskappy
finansiëledienste-sektor	NSE finansiëledienstesektor
Finansies_en_Tegniek	NEE Finansies_&_Tegniek
Finsch-diamantmyn	NEE Finschdiamantmyn
fisika-departement	NSE fisikadepartement
Fisika-departement	NSE fisikadepartement
fisika-departemente	NSM fisikadepartement
Fisika-departemente	NSM fisikadepartement
fisika-eksperiment	NSE fisikaeksperiment
fisika-eksperimente	NSM fisikaeksperiment
fisioterapie-praktyk	NSE fisioterapiepraktyk
flamenco	NSE flamenko
flamencodans	NSE flamenkodans
flamenco's	NSM flamenko
Fleur_de_lis	NSE fleur_de_lis
fleur-de-lis	NSE fleur_de_lis
Fleur-de-lis	NSE fleur_de_lis
Fleurs_de_lis	NSM fleur_de_lis
fleurs-de-lis	NSM fleur_de_lis
Fleurs-de-lis	NSM fleur_de_lis
Florence_Nightingale-straat	NEE Florence_Nightingalestraat
Florence_Ribeiro-weg	NEE Florence_Ribeiroweg
foei_tog	W foeitog
foendi	NSE foendie
foendi's	NSM foendie
fokol	BS fokkol
foliouitgawe	NSE folio-uitgawe
foliouitgawes	NSM folio-uitgawe
Folkert_de_Vries-straat	NEE Folkert_de_Vriesstraat
Folkert_De_Vriesstraat	NEE Folkert_de_Vriesstraat
Folkert_De_Vries-straat	NEE Folkert_de_Vriesstraat
fong_kong	ASA fongkong	ASP fongkong
Fong_kong	ASA fongkong	ASP fongkong
fonkel	VTHOG vonkel
fooi_tog	W fooitog
fop-pels	NSE foppels
Ford-handelaar	NSE Fordhandelaar
Ford-handelaars	NSM Fordhandelaar
FOSATU	NEE Fosatu
fosfaat-ontginning	NSE fosfaatontginning
foto-afdruk	NSE fotoafdruk
foto-afdrukke	NSM fotoafdruk
foto-album	NSE fotoalbum
foto-albums	NSM fotoalbum
foto-elektries	ASP fotoëlektries	BS fotoëlektries
foto-elektriese	ASA fotoëlektries
foto-elektrisiteit	NSE fotoëlektrisiteit
foto-elektron	NSE fotoëlektron
foto-elektrone	NSM fotoëlektron
foto-ionisering	NSE fotoïonisering
foto-joernalistiek	NSE fotojoernalistiek
foto-osmose	NSE fotoösmose
Fourier-analise	NSE fourieranalise
Fourier-optika	NSE fourieroptika
Fourier-reeks	NSE fourierreeks
Fourier-reekse	NSM fourierreeks
Fourier-transformasie	NSE fouriertransformasie
Fourier-transformasies	NSM fouriertransformasie
fraiinglip-harder	NSE fraiinglipharder
fraiinglip-harders	NSM fraiinglipharder
francesinha-broodjie	NSE francesinhabroodjie
francesinha-broodjies	NSM francesinhabroodjie
Francie_van_Zyl-rylaan	NEE Francie_van_Zylrylaan
Francis_Baard-straat	NEE Francis_Baardstraat
Francis_Server-straat	NEE Francis_Serverstraat
franciskaan	NSE fransiskaan
franciskaans	ASP fransiskaans
franciskaanse	ASA fransiskaans
franciskane	NSM fransiskaan
franciskanemonnik	NSE fransiskanemonnik
franciskanemonnike	NSM fransiskanemonnike
franciskaneorde	NEE fransiskaneorde
franciskaner	NSE fransiskaner
franciskanermonnik	NSE fransiskanermonnik
franciskanermonnike	NSM fransiskanermonnike
franciskanerorde	NEE fransiskanerorde
franciskaners	NSM fransiskaner
Frank_Marquard-straat	NEE Frank_Marquardstraat
Franke-ryk	NEE Frankeryk
Frankie_Fredericks-rylaan	NEE Frankie_Fredericksrylaan
Frankie_Fredericks-straat	NEE Frankie_Fredericksstraat
Frans_Conradie-rylaan	NEE Frans_Conradierylaan
Frans_Conradie-weg	NEE Frans_Conradieweg
Frans_Josef-land	NEE Frans_Josefland
Frans_Oerders-straat	NEE Frans_Oerdersstraat
Franse_Revolusie	NEE Franse_Rewolusie
Fransie_Pienaar-museum	NEE Fransie_Pienaarmuseum
Franz_Josefland	NEE Frans_Josefland
Franz_Josef-land	NEE Frans_Josefland
frappé's	NSM frappé
Fraunhoferlyne	NSM fraunhoferlyne
Fraunhofer-lyne	NSM fraunhoferlyne
Fred_Nicholson-rylaan	NEE Fred_Nicholsonrylaan
FRELIMO	NEE Frelimo
Frelimo-regering	NSE Frelimoregering
FRELIMO-regering	NSE Frelimoregering
Fresnel-lens	NSE fresnellens
Fresnel-lense	NSM fresnellens
Fromage_blanc	NSE fromage_blanc
Fromage_frais	NSE fromage_frais
Fuji	NEE Foedji
Fukushima	NEE Foekoesjima
fundi	NSE foendie
fundi's	NSM foendie
FW_de_Klerkboulevard	NEE F.W._de_Klerkboulevard
FW_de_Klerk-boulevard	NEE F.W._de_Klerkboulevard
FW_de_Klerkstigting	NEE F.W._de_Klerkstigting
FW_de_Klerk-stigting	NEE F.W._de_Klerkstigting
fynproewersrestourant	NSE fynproewersrestaurant
fynproewersrestourante	NSM fynproewersrestaurant
fynproewersrestourants	NSM fynproewersrestaurant
fytjie-abbakaros	NSE fytjieabbakaros
fytjie-abbakarosse	NSM fytjieabbakaros
Gabbema_Doordrift	NEE Gabbemadoordrift
Gaëlies	ASP Gaelies	NEE Gaelies
Gaëliese	ASA Gaelies
Gaia-beginsel	NSE Gaiabeginsel
Gaia-hipotese	NSE Gaiahipotese
gala-dinee	NSE galadinee
gala-dinees	NSM galadinee
Galapagos-eilande	NEM Galapagoseilande
Galápagoseilande	NEM Galapagoseilande
Galápagos-eilande	NEM Galapagoseilande
Galdea	NEE Chaldea
Galdeër	NEE Chaldeër
Galdeërs	NEM Chaldeër
Galdeeus	ASP Chaldeeus
Galdeeuse	ASA Chaldeeus
galery-eienaar	NSE galeryeienaar
galery-eienaars	NSM galeryeienaar
galery-eienare	NSM galeryeienaar
Galicië	NEE Galisië
Galiciër	NEE Galisiër
Galiciërs	NEM Galisiër
Galicies	ASP Galisies	NEE Galisies
Galiciese	ASA Galisies
Galilei-transformasie	NSE galileitransformasie
Galilei-transformasies	NSM galileitransformasie
Gamay_Keerweg	NEE Gamaykeerweg
gamma-variant	NSE gammavariant
Gamma-variant	NSE gammavariant
Ganimedes	NEE Ganumedes
gannabos-as	NSE gannabosas
Ganymedes	NEE Ganumedes
Garam_masala	NSE garam_masala
Garankuwa	NEE Ga-Rankuwa
Gariep-Afrikaans	NEE Gariepafrikaans
Gariep-kunstefees	NEE Gariepkunstefees
Garoowe	NEE Garowe
Gascogne	NEE Gaskonje
Gascogner	NEE Gaskonjer
Gascogners	NEM Gaskonjer
Gascognies	ASP Gaskonjies
Gascogniese	ASA Gaskonjies
Gascons	ASP Gaskons
Gasconse	ASA Gaskons
gasstoof-kookplaat	NSE gasstoofkookplaat
gasstoof-kookplate	NSM gasstoofkookplaat
gastheer	NSE gasheer
gasthere	NSM gasheer
gastmaal	NSE gasmaal
gastmale	NSM gasmaal
gastro-enterologie	NSE gastroënterologie
gastro-intestinaal	ASP gastroïntestinaal
gastro-intestinale	ASA gastroïntestinaal
gatjieponder	NSE gatjieponner
gatjieponders	NSM gatjieponner
gawiaal	NSM gaviaal
gawiale	NSM gaviaal
Gay_pride	NSE gay_pride
Gay_Pride	NSE gay_pride
gay-debat	NSE gaydebat
gay-onvriendelik	ASP gayonvriendelik	BS gayonvriendelik
gay-onvriendelike	ASA gayonvriendelik
gay-tema	NSE gaytema
Gaza	NEE Gasa
Gazastrook	NEE Gasastrook
Gaziet	NEE Gasiet
Gaziete	NEM Gasiet
Gaziets	ASP Gasiets
Gazietse	ASA Gasiets
gazilam	NSE gazielam
gazilams	NSM gazielam
Gcaleka-opperhoof	NSE Gcalekaopperhoof
Gcaleka-opperhoofde	NSM Gcalekaopperhoof
geaktiveerdeslyk-proses	NSE geaktiveerdeslykproses
gebaretaal-linguistiek	NSE gebaretaallinguistiek
gecamoufleer	ASP gekamoefleer	VVHOG kamoefleer
gecamoufleerde	ASA gekamoefleer
geelbek-witreier	NSE geelbekwitreier
geelbek-witreiers	NSM geelbekwitreier
geelblom-bloudissel	NSE geelblombloudissel
geelblom-bloudissels	NSM geelblombloudissel
ge-elektroplateer	VVHOG elektroplateer
geelpens-klipkabeljou	NSE geelpensklipkabeljou
geelpens-klipkabeljoue	NSM geelpensklipkabeljou
geelpers-fotograaf	NSE geelpersfotograaf
geelpers-fotograwe	NSM geelpersfotograaf
geelpers-koerant	NSE geelperskoerant
geelpers-koerante	NSM geelperskoerant
geëvolueer	VVHOG ewolueer	ASP geëwolueer
geëvolueerd	ASP geëwolueerd
geëvolueerde	ASA geëwolueer(d)
Geez	NEE Ge'ez
gefonkel	VVHOG vonkel
gehalte-joernalistiek	NSE gehaltejoernalistiek
gehalte-onderrig	NSE gehalteonderrig
gehalte-onderwys	NSE gehalteonderwys
gehalte-opleiding	NSE gehalteopleiding
gehalte-opleidinge	NSM gehalteopleiding
gehalte-opleidings	NSM gehalteopleiding
ge-hanna-hanna	VVHOG hanna-hanna	NSE gehanna-hanna
gehol-en-dol-voeg	VVHOG hol-en-dolvoeg
geïftar	VVHOG iftaar
Geigerteller	NSE geigerteller
Geigertellers	NSM geigerteller
geïndividualiseer	VVHOG indiwidualiseer
gekieza	VVHOG kiza
geklingklang	VVHOG kling-klang
geldwassery-aktiwiteit	NSE geldwasseryaktiwiteit
geldwassery-aktiwiteite	NSM geldwasseryaktiwiteit
gelike	VVHOG laaik
gelocum	VVHOG lokum
gelofte-offer	NSE gelofteoffer
gelofte-offers	NSM gelofteoffer
gelykstroom-elektrisiteit	NSE gelykstroomelektrisiteit
gemeenskaps-bedrywighede	NSM gemeenskapsbedrywigheid
gemeenskaps-bedrywigheid	NSE gemeenskapsbedrywigheid
gemeente-opname	NSE gemeenteopname
gemerceriseer	ASP gemerseriseer	VVHOG merseriseer
gemerceriseerde	ASA gemerseriseer
gemiau	VVHOG miaau
gender-aktivis	NSE genderaktivis
gender-aktiviste	NSM genderaktivis
gender-neutraal	ASP genderneutraal
gender-neutrale	ASA genderneutraal
gender-ongeregtigheid	NSE genderongeregtigheid
gender-vloeibaarheid	NSE gendervloeibaarheid
geneesmiddel-ontwikkeling	NSE geneesmiddelontwikkeling
Generaal_Botha-kollege	NEE Generaal_Bothakollege
Generaal_Louis_Botha-laan	NEE Generaal_Louis_Bothalaan
Generaal_Louis_Botha-rylaan	NEE Generaal_Louis_Botharylaan
Generaal_Murtala_Muhammed-laan	NEE Generaal_Murtala_Muhammedlaan
Genl._Louis_Bothalaan	NEE Generaal_Louis_Bothalaan
Genl._Louis_Botha-laan	NEE Generaal_Louis_Bothalaan
Genl._Louis_Botharylaan	NEE Generaal_Louis_Botharylaan
Genl._Louis_Botha-rylaan	NEE Generaal_Louis_Botharylaan
Genl._Murtala_Muhammedlaan	NEE Generaal_Murtala_Muhammedlaan
Genl._Murtala_Muhammed-laan	NEE Generaal_Murtala_Muhammedlaan
Genl_Louis_Bothalaan	NEE Generaal_Louis_Bothalaan
Genl_Louis_Botha-laan	NEE Generaal_Louis_Bothalaan
Genl_Louis_Botharylaan	NEE Generaal_Louis_Botharylaan
Genl_Louis_Botha-rylaan	NEE Generaal_Louis_Botharylaan
Genl_Murtala_Muhammedlaan	NEE Generaal_Murtala_Muhammedlaan
Genl_Murtala_Muhammed-laan	NEE Generaal_Murtala_Muhammedlaan
genre-analise	NSE genreanalise
gensbok	NSE gemsbok
gensbokkalf	NSE gemsbokkalf
gensbokkalwers	NSM gemsbokkalf
gensbokke	NSM gemsbok
gensbokkoei	NSE gemsbokkoei
gensbokkoeie	NSM gemsbokkoei
gensbokslagting	NSE gemsbokslagting
geo-databasis	NSE geodatabasis
geo-databasisse	NSM geodatabasis
geografie-onderrig	NSE geografieonderrig
Geografie-onderrig	NSE geografieonderrig
geografie-onderwys	NSE geografieonderwys
geohidrologie-departement	NSE geohidrologiedepartement
geoligging-funksie	NSE geoliggingfunksie
George_Storrar-rylaan	NEE George_Storrarrylaan
geo-statistiek	NSE geostatistiek
geping-pong	VVHOG pingpong
geretoucheer	ASP geretoesjeer	VVHOG retoesjeer
geretoucheerde	ASA geretoesjeer
Gert_Thomas-straat	NEE Gert_Thomasstraat
geseg	ASP gesê	VTHOG gesê	VVHOG sê
gesigmasker	NSE gesigsmasker
gesigmaskers	NSM gesigsmasker
gesinsrestourant	NSE gesinsrestaurant
gesinsrestourante	NSM gesinsrestaurant
gesinsrestourants	NSM gesinsrestaurant
geskiedenis-huiswerk	NSE geskiedenishuiswerk
geskiedenis-olimpiade	NSE geskiedenisolimpiade
geskiedenis-olimpiades	NSM geskiedenisolimpiade
geskiedenis-onderrig	NSE geskiedenisonderrig
Geskiedenis-onderrig	NSE geskiedenisonderrig
geslagsgeweld-veldtog	NSE geslagsgeweldveldtog
geslagsgeweld-veldtogte	NSM geslagsgeweldveldtog
geslotebaan-kamerastelsel	NSE geslotebaankamerastelsel
geslotebaan-kamerastelsels	NSM geslotebaankamerastelsel
geslotebaan-televisie	NSE geslotebaantelevisie
gesloteboek-vraestel	NSE gesloteboekvraestel
gesloteboek-vraestelle	NSM gesloteboekvraestel
geslotegeledere-ooreenkoms	NSE geslotegeledereooreenkoms
geslotegeledere-ooreenkomste	NSM geslotegeledereooreenkoms
gesmêsh	VVHOG smêsj
gesondheidsorg-organisasie	NSE gesondheidsorgorganisasie
gesondheidsorg-organisasies	NSM gesondheidsorgorganisasie
gesondheidsorg-voorsiening	NSE gesondheidsorgvoorsiening
gesondheidsorg-voorsienings	NSM gesondheidsorgvoorsiening
gesondheidswetenskappe-biblioteek	NSE gesondheidswetenskappebiblioteek
gesondheidswetenskappe-biblioteke	NSM gesondheidswetenskappebiblioteek
getalle-oormag	NSE getalleoormag
getoetsde	ASA getoets
getroumatiseer	ASP getraumatiseer	VVHOG traumatiseer
getroumatiseerd	ASP getraumatiseerd
getroumatiseerde	ASA getraumatiseer(d)	NSE getraumatiseerde
getroumatiseerdes	NSM getraumatiseerde
gety-interaksie	NSE getyinteraksie
gety-interaksies	NSM getyinteraksie
gevalle-aanbieding	NSE gevalleaanbieding
gevalle-aanbiedinge	NSM gevalleaanbieding
gevalle-aanbiedings	NSM gevalleaanbieding
gevangene-arbeid	NSE gevangenearbeid
gevangenis-eenhede	NSM gevangeniseenheid
gevangenis-eenheid	NSE gevangeniseenheid
gevarieër	VVHOG varieer
gevestigde-orde-kandidaat	NSE gevestigdeordekandidaat
gevestigde-orde-kandidate	NSM gevestigdeordekandidaat
geworrie	VVHOG worry
Ghaap-plato	NEE Ghaapplato
ghoemahare-pienk	ASP ghoemaharepienk	ASA ghoemaharepienk
ghoetiet	NSE goethiet
Gibbon-primaat	NSE gibbonprimaat
Gibbon-primate	NSM gibbonprimaat
Giel_Basson-weg	NEE Giel_Bassonweg
giga-elektronvolt	NSM gigaelektronvolt	NSE gigaelektronvolt
gigaëlektronvolt	NSM gigaelektronvolt	NSE gigaelektronvolt
gigantosaurus	NSE gigantosourus
gigantosaurusse	NSM gigantosourus
Gilgamesj-epos	NEE Gilgamesjepos
gimnasium-eindeksamen	NSE gimnasiumeindeksamen
gimnasium-eindeksamens	NSM gimnasiumeindeksamen
gin-en-tonic-drankie	NSE gin-en-tonicdrankie
gin-en-tonic-drankies	NSM gin-en-tonicdrankie
gin-en-tonic-smaak	NSE gin-en-tonicsmaak
gini-koëffisiënt	NSE ginikoëffisiënt
Gini-koëffisiënt	NSE ginikoëffisiënt
glacé-handskoen	NSE glacéhandskoen
glacé-handskoene	NSM glacéhandskoen
glas-in-lood-kuns	NSE glas-in-loodkuns
gliseriel-triërukaat	NSE gliserieltriërukaat
gliserol-trioleaat	NSE gliseroltrioleaat
gloeilamp-straatverligting	NSE gloeilampstraatverligting
godsdiens-gedrewe	ASA godsdiensgedrewe	ASP godsdiensgedrewe
Goegap-natuurreservaat	NEE Goegapnatuurreservaat
Goeie_Hoop-straat	NEE Goeie_Hoopstraat
goeienuus-storie	NSE goeienuusstorie
goeienuus-stories	NSM goeienuusstorie
Goethe-instituut	NEE Goethe-Instituut
goewermentskennisgewing	NSE Goewermentskennisgewing
goewermentskennisgewinge	NSM Goewermentskennisgewing
goewermentskennisgewings	NSM Goewermentskennisgewing
gogel	VTHOG goël
gogelaar	NSE goëlaar
gogelaars	NSM goëlaar
gogelary	NSE goëlery
gogelbal	NSE goëlbal
gogelballe	NSM goëlbal
gogelkuns	NSE goëlkuns
gogelkunstenaar	NSE goëlkunstenaar
gogelkunstenaars	NSM goëlkunstenaar
goiensak	NSE goiingsak
goiensakke	NSM goiingsak
Golf_van_Guineë	NEE Golf_van_Guinee
golf-deeltjie-dualiteit	NSE golf-deeltjiedualiteit
Gondwana-reservaat	NEE Gondwanareservaat
Goodnow-saal	NEE Goodnowsaal
Goodyear-park	NEE Goodyearpark
gooi-assegaai	NSE gooiassegaai
gooi-assegaaie	NSM gooiassegaai
goud-ghieliemientjie	NSE goudghieliemientjie
goud-ghieliemientjies	NSM goudghieliemientjie
Gough-eiland	NEE Gougheiland
gourmet-eetplek	NSE gourmeteetplek
gourmet-eetplekke	NSM gourmeteetplek
Govan_Mbeki-rylaan	NEE Govan_Mbekirylaan
Graad_10-eksamen	NSE graad_10-eksamen
Graad_10-eksamens	NSM graad_10-eksamen
Graad_10-leerder	NSE graad_10-leerder
Graad_10-leerders	NSM graad_10-leerder
Graad_10-leerling	NSE graad_10-leerling
Graad_10-leerlinge	NSM graad_10-leerling
Graad_10-slaagsyfer	NSE graad_10-slaagsyfer
Graad_10-slaagsyfers	NSM graad_10-slaagsyfer
Graad_11-groep	NSE graad_11-groep
Graad_11-groepe	NSM graad_11-groep
Graad_11-leerder	NSE graad_11-leerder
Graad_11-leerders	NSM graad_11-leerder
Graad_11-leerling	NSE graad_11-leerling
Graad_11-leerlinge	NSM graad_11-leerling
Graad_12-eksamen	NSE graad_12-eksamen
Graad_12-eksamens	NSM graad_12-eksamen
Graad_12-leerder	NSE graad_12-leerder
Graad_12-leerders	NSM graad_12-leerder
Graad_12-leerling	NSE graad_12-leerling
Graad_12-leerlinge	NSM graad_12-leerling
Graad_12-onderwerp	NSE graad_12-onderwerp
Graad_12-onderwerpe	NSM graad_12-onderwerp
Graad_12-slaagsyfer	NSE graad_12-slaagsyfer
Graad_12-slaagsyfers	NSM graad_12-slaagsyfer
Graad_1-leerder	NSE graad_1-leerder
Graad_1-leerders	NSM graad_1-leerder
Graad_1-leerling	NSE graad_1-leerling
Graad_1-leerlinge	NSM graad_1-leerling
Graad_2-leerder	NSE graad_2-leerder
Graad_2-leerders	NSM graad_2-leerder
Graad_2-leerling	NSE graad_2-leerling
Graad_2-leerlinge	NSM graad_2-leerling
Graad_3-leerder	NSE graad_3-leerder
Graad_3-leerders	NSM graad_3-leerder
Graad_3-leerling	NSE graad_3-leerling
Graad_3-leerlinge	NSM graad_3-leerling
Graad_4-leerder	NSE graad_4-leerder
Graad_4-leerders	NSM graad_4-leerder
Graad_4-leerling	NSE graad_4-leerling
Graad_4-leerlinge	NSM graad_4-leerling
Graad_5-leerder	NSE graad_5-leerder
Graad_5-leerders	NSM graad_5-leerder
Graad_5-leerling	NSE graad_5-leerling
Graad_5-leerlinge	NSM graad_5-leerling
Graad_6-leerder	NSE graad_6-leerder
Graad_6-leerders	NSM graad_6-leerder
Graad_6-leerling	NSE graad_6-leerling
Graad_6-leerlinge	NSM graad_6-leerling
Graad_7-leerder	NSE graad_7-leerder
Graad_7-leerders	NSM graad_7-leerder
Graad_7-leerling	NSE graad_7-leerling
Graad_7-leerlinge	NSM graad_7-leerling
Graad_8-leerder	NSE graad_8-leerder
Graad_8-leerders	NSM graad_8-leerder
Graad_8-leerling	NSE graad_8-leerling
Graad_8-leerlinge	NSM graad_8-leerling
